"GUID","householdsTotal","noHeating","yearBuilt","mobHome","oneParent","onePerson","noCar","noInternet","priWater"
"4c07d11e-11d3-851d-e053-ca3ca8c0ca7f",129,1,27,1,14,23,5,23,113
"4c07d11e-123a-851d-e053-ca3ca8c0ca7f",114,2,22,0,6,19,7,23,85
"4c07d11e-14b1-851d-e053-ca3ca8c0ca7f",139,0,10,1,22,20,7,16,10
"4c07d11e-14b2-851d-e053-ca3ca8c0ca7f",103,0,19,0,6,20,1,15,42
"4c07d11d-f709-851d-e053-ca3ca8c0ca7f",83,2,21,0,9,20,1,21,61
"4c07d11e-1237-851d-e053-ca3ca8c0ca7f",114,1,32,0,8,23,3,27,29
"4c07d11e-0a04-851d-e053-ca3ca8c0ca7f",102,1,6,0,13,15,0,8,0
"4c07d11e-1234-851d-e053-ca3ca8c0ca7f",70,0,20,0,7,11,1,15,9
"4c07d11e-1493-851d-e053-ca3ca8c0ca7f",65,2,7,1,8,20,7,23,3
"4c07d11e-10d9-851d-e053-ca3ca8c0ca7f",79,1,24,1,2,18,6,20,74
"4c07d11e-10d7-851d-e053-ca3ca8c0ca7f",70,1,14,0,5,15,2,16,55
"4c07d11d-f701-851d-e053-ca3ca8c0ca7f",118,3,30,0,11,22,4,27,114
"4c07d11d-f663-851d-e053-ca3ca8c0ca7f",92,2,35,1,5,22,3,23,80
"4c07d11e-10d8-851d-e053-ca3ca8c0ca7f",71,1,23,0,3,15,4,13,60
"4c07d11e-10d6-851d-e053-ca3ca8c0ca7f",81,1,21,1,5,10,3,10,78
"4c07d11e-0a22-851d-e053-ca3ca8c0ca7f",79,1,38,0,10,25,11,21,10
"4c07d11e-1d96-851d-e053-ca3ca8c0ca7f",130,1,15,2,24,32,24,38,0
"4c07d11e-1246-851d-e053-ca3ca8c0ca7f",85,1,10,1,6,12,1,7,37
"4c07d11e-14cf-851d-e053-ca3ca8c0ca7f",83,1,17,0,7,17,3,15,12
"4c07d11e-14af-851d-e053-ca3ca8c0ca7f",102,3,7,0,6,29,6,14,24
"4c07d11e-1da6-851d-e053-ca3ca8c0ca7f",108,0,0,0,8,30,16,13,0
"4c07d11e-1242-851d-e053-ca3ca8c0ca7f",107,1,27,2,10,27,8,23,59
"4c07d11e-14cc-851d-e053-ca3ca8c0ca7f",130,1,14,2,15,37,12,24,0
"4c07d11e-0a25-851d-e053-ca3ca8c0ca7f",79,0,1,0,3,24,21,3,1
"4c07d11e-1da5-851d-e053-ca3ca8c0ca7f",90,0,0,0,8,19,3,3,0
"4c07d11e-0a1a-851d-e053-ca3ca8c0ca7f",88,0,2,0,15,19,13,6,3
"4c07d11e-2df1-851d-e053-ca3ca8c0ca7f",147,0,0,0,38,16,20,21,0
"4c07d11e-2df2-851d-e053-ca3ca8c0ca7f",127,0,0,0,25,17,27,13,0
"4c07d11e-1d57-851d-e053-ca3ca8c0ca7f",120,0,0,0,23,19,7,11,0
"4c07d11e-1d73-851d-e053-ca3ca8c0ca7f",132,0,2,0,14,28,6,13,0
"4c07d11e-1d82-851d-e053-ca3ca8c0ca7f",105,0,1,0,12,24,7,6,0
"4c07d11e-1d81-851d-e053-ca3ca8c0ca7f",129,2,3,0,21,22,3,15,0
"4c07d11e-2e4e-851d-e053-ca3ca8c0ca7f",84,0,0,0,12,17,2,6,1
"4c07d11e-14cd-851d-e053-ca3ca8c0ca7f",112,1,2,0,5,43,25,29,33
"4c07d11e-0a4f-851d-e053-ca3ca8c0ca7f",114,2,0,0,8,40,20,32,0
"4c07d11e-2e4d-851d-e053-ca3ca8c0ca7f",125,0,1,0,28,33,24,23,2
"4c07d11e-1d80-851d-e053-ca3ca8c0ca7f",105,0,1,0,20,22,11,19,0
"4c07d11e-1d74-851d-e053-ca3ca8c0ca7f",71,1,2,0,6,11,2,7,0
"4c07d11e-2e42-851d-e053-ca3ca8c0ca7f",73,0,0,0,11,14,3,3,0
"4c07d11e-1d66-851d-e053-ca3ca8c0ca7f",71,0,0,0,7,9,3,2,0
"4c07d11e-1d72-851d-e053-ca3ca8c0ca7f",95,0,1,2,12,19,10,29,0
"4c07d11e-1d75-851d-e053-ca3ca8c0ca7f",85,0,1,0,18,18,5,12,0
"4c07d11e-1da7-851d-e053-ca3ca8c0ca7f",72,1,1,0,9,18,5,10,0
"4c07d11e-1d9a-851d-e053-ca3ca8c0ca7f",79,0,1,0,15,13,8,14,0
"4c07d11e-1d46-851d-e053-ca3ca8c0ca7f",103,0,0,0,22,12,23,16,0
"4c07d11e-2e21-851d-e053-ca3ca8c0ca7f",104,0,0,0,23,11,18,8,1
"4c07d11e-1d3a-851d-e053-ca3ca8c0ca7f",174,0,0,0,39,40,37,31,3
"4c07d11e-0a41-851d-e053-ca3ca8c0ca7f",121,0,5,0,13,28,9,15,2
"4c07d11e-1db4-851d-e053-ca3ca8c0ca7f",77,0,1,0,11,11,2,6,1
"4c07d11e-1dbf-851d-e053-ca3ca8c0ca7f",92,1,0,0,12,17,6,3,0
"4c07d11e-1dc9-851d-e053-ca3ca8c0ca7f",87,0,3,0,13,17,12,14,0
"4c07d11e-1d58-851d-e053-ca3ca8c0ca7f",130,0,2,1,8,25,11,18,0
"4c07d11e-1d67-851d-e053-ca3ca8c0ca7f",96,0,0,0,7,20,5,5,0
"4c07d11e-2e41-851d-e053-ca3ca8c0ca7f",75,0,0,0,8,6,1,4,0
"4c07d11e-1d65-851d-e053-ca3ca8c0ca7f",117,1,1,0,13,31,14,21,0
"4c07d11e-0a57-851d-e053-ca3ca8c0ca7f",90,3,3,0,14,25,13,17,0
"4c07d11e-0a4e-851d-e053-ca3ca8c0ca7f",129,1,1,0,19,37,37,24,0
"4c07d11e-14cb-851d-e053-ca3ca8c0ca7f",95,0,4,0,6,23,4,16,14
"4c07d11e-14ca-851d-e053-ca3ca8c0ca7f",114,1,7,0,13,26,7,28,18
"4c07d11e-2e22-851d-e053-ca3ca8c0ca7f",130,0,0,0,21,30,24,24,0
"4c07d11e-1d3b-851d-e053-ca3ca8c0ca7f",142,1,1,0,41,24,27,26,0
"4c07d11e-1d56-851d-e053-ca3ca8c0ca7f",135,0,1,0,34,17,24,26,0
"4c07d11e-2e31-851d-e053-ca3ca8c0ca7f",125,1,0,0,27,29,44,39,0
